Student_Name,Enrollment_No,Semester,Department,Age,Gender,G1_Internal,G2_Internal,Final_Exam_Score,Attendance_Percentage,Study_Hours_Per_Week,Backlogs,Parent_Education_Level,Part_Time_Work,Previous_CGPA,predicted_CGPA,Academic_Risk_Level
4,596,1,4,22,1,47,51,77,87,1,4,2,1,4.35,6.02,0
6,784,6,3,21,1,36,58,93,62,6,4,3,0,8.26,6.54,0
3,335,5,0,20,0,74,90,90,75,0,1,2,1,9.34,8.52,1
0,187,3,1,19,1,42,90,42,57,8,0,0,1,5.57,5.64,2
1,670,8,3,20,0,35,56,50,66,4,2,2,0,5.58,4.73,0
9,242,5,3,19,0,64,76,31,84,8,3,1,0,5.14,5.44,0
0,72,8,0,19,1,82,43,52,42,12,0,3,1,6.35,5.83,2
1,478,5,3,22,0,97,36,45,98,0,1,0,0,6.07,5.79,2
6,973,3,3,21,0,71,44,42,97,19,2,1,1,8.87,5.13,0
2,560,5,4,21,0,33,75,33,51,14,1,1,1,8.35,4.56,0
2,100,1,5,18,0,89,57,31,59,16,1,1,0,8.84,5.62,2
7,513,6,4,20,1,74,72,94,58,7,1,1,1,9.06,8.14,2
0,755,8,0,22,1,95,39,55,62,14,1,1,0,7.74,6.22,2
2,175,4,2,20,1,51,80,59,99,18,3,0,1,7.54,6.29,0
10,237,7,0,18,1,41,32,67,44,10,1,1,1,6.56,4.87,0
1,909,3,0,18,1,80,73,49,90,7,4,1,1,4.46,6.55,0
7,58,8,0,22,0,46,83,54,58,5,1,1,0,6.45,6.03,2
12,864,6,0,18,1,65,63,81,96,5,3,3,1,5.99,7.08,0
1,98,2,3,22,1,78,94,39,51,7,1,1,0,6.08,6.72,2
7,953,8,0,18,0,45,54,70,67,18,2,2,1,6.76,5.77,2
6,870,1,2,21,0,73,92,90,96,19,0,0,1,6.9,8.55,1
0,953,4,0,22,0,51,99,31,76,8,3,0,0,5.19,5.74,0
6,494,1,4,21,0,37,74,36,73,19,2,2,1,5.51,4.77,0
9,946,8,3,21,0,47,97,89,97,5,3,1,1,5.12,7.88,1
6,979,1,4,22,1,67,55,90,55,4,0,0,0,8.05,7.26,2
5,513,2,3,20,1,58,55,56,92,15,4,1,1,9.3,5.63,0
12,754,4,4,19,1,31,55,30,43,6,0,3,0,5.35,3.78,0
11,296,7,1,18,0,88,91,56,93,0,4,2,1,8.75,7.61,1
6,210,1,5,18,1,71,90,89,86,9,1,0,1,8.02,8.39,1
9,122,2,5,20,0,50,31,82,81,18,2,0,1,5.68,5.71,2
8,228,3,3,19,1,31,70,65,93,4,3,1,1,6.89,5.63,0
10,593,2,1,20,0,34,74,53,45,19,4,2,0,7.35,5.36,0
1,655,5,2,19,1,46,43,64,46,18,3,3,1,8.24,5.23,0
8,387,8,1,22,1,53,66,62,73,18,0,3,0,6.99,6.05,2
9,139,6,3,22,0,37,31,46,43,8,1,0,0,7.61,3.88,0
7,540,8,1,21,0,59,34,98,54,2,0,1,1,5.76,6.71,2
11,390,8,2,21,0,79,31,64,52,8,4,1,1,4.68,5.86,0
12,269,2,3,22,1,51,30,76,48,18,2,1,1,4.33,5.47,0
12,758,2,5,21,0,88,77,88,76,15,4,3,1,5.61,8.47,1
12,11,2,0,22,0,53,51,90,56,1,4,1,1,7.67,6.72,0
10,866,8,1,20,0,55,70,51,77,7,0,2,1,4.49,5.79,2
11,388,7,5,18,1,90,54,56,53,13,4,0,1,8.06,6.56,0
10,336,1,5,22,0,37,75,44,76,5,2,1,0,6.24,5.12,0
10,505,7,4,22,1,41,38,65,70,11,1,3,0,6.57,4.97,0
3,105,4,2,22,1,43,90,86,41,0,0,2,0,5.17,7.43,2
11,31,2,0,21,1,59,76,70,85,17,4,0,0,7.84,6.85,0
5,73,2,1,21,0,84,32,74,58,6,3,0,1,9.34,6.44,0
11,170,5,5,21,1,90,37,72,58,11,1,1,0,6.21,6.69,2
9,848,5,5,21,0,91,54,41,99,11,0,3,1,4.64,5.99,2
3,68,3,2,20,0,60,65,97,94,5,2,3,0,4.09,7.63,1
12,812,3,0,22,0,56,72,96,52,19,2,0,1,8.76,7.68,2
9,361,5,0,20,1,30,79,33,60,1,1,1,0,7.88,4.59,0
9,648,4,5,21,1,70,92,94,70,10,2,3,1,8.66,8.62,2
13,432,3,5,20,1,43,63,34,83,15,0,3,1,6.16,4.54,0
4,928,6,5,22,0,79,39,31,67,0,0,2,1,7.48,4.78,0
3,995,6,5,22,0,71,56,75,96,5,0,0,1,6.13,6.81,2
9,99,4,4,21,1,69,42,38,40,9,4,1,1,5.81,4.85,0
4,657,5,4,22,1,43,80,37,74,8,2,2,1,7.25,5.17,0
4,8,3,0,20,0,40,97,87,49,9,4,1,1,5.2,7.59,0
3,573,2,3,19,0,92,45,92,47,17,2,3,1,8.01,7.79,2
13,696,5,1,22,0,78,41,90,52,17,2,0,0,7.49,7.17,2
8,28,3,2,20,0,66,54,44,58,8,2,2,0,6.24,5.36,0
7,892,4,3,20,1,39,78,71,42,12,3,0,1,5.57,6.35,0
5,113,6,4,20,1,83,45,79,95,9,4,3,1,5.98,7.0,0
7,461,8,4,22,0,36,31,80,97,8,1,0,0,5.71,5.21,0
11,920,4,4,19,1,41,64,54,42,3,4,1,1,5.99,5.31,0
12,142,8,3,21,1,84,51,51,66,14,2,3,1,4.09,6.09,2
5,389,3,4,21,0,65,77,51,57,7,1,1,0,5.87,6.3,2
11,631,4,3,22,0,36,93,98,74,1,1,2,1,6.97,7.79,2
9,681,3,4,22,1,53,96,98,83,3,1,1,1,6.65,8.39,1
12,156,3,5,18,0,63,51,95,73,5,3,2,1,4.78,7.22,0
1,334,8,5,19,1,94,76,93,69,19,0,3,0,9.21,8.82,2
3,860,4,1,20,0,58,69,51,47,6,2,3,1,5.01,5.85,2
5,259,1,4,20,1,55,82,42,99,12,2,0,0,7.18,5.79,2
5,81,2,1,21,0,94,32,56,60,4,4,0,0,6.04,6.02,0
6,753,5,3,22,1,74,35,76,85,3,1,0,0,7.7,6.31,2
9,440,6,1,19,0,46,43,50,58,5,3,3,0,6.4,4.67,0
8,944,2,4,21,0,65,87,60,82,4,1,0,1,4.23,6.96,2
4,171,5,3,19,0,92,36,67,87,4,4,2,1,7.49,6.52,0
12,230,5,3,22,0,52,58,68,85,6,0,3,0,9.09,6.02,2
9,719,6,5,20,0,95,32,65,79,4,2,2,1,8.78,6.41,2
2,74,2,3,18,1,71,42,94,69,3,1,3,0,5.81,7.15,2
13,269,6,3,19,1,72,65,40,95,8,2,0,1,5.79,5.71,2
4,898,3,1,20,0,84,67,98,66,4,4,1,1,7.23,8.45,0
3,625,6,0,19,1,85,89,63,59,1,0,0,1,5.08,7.74,2
4,61,8,3,19,1,60,51,34,53,16,3,2,1,7.45,4.69,0
8,873,8,2,19,0,85,50,49,96,18,0,1,1,8.41,6.01,2
6,319,4,0,22,1,77,62,92,51,6,3,0,1,5.12,7.85,0
4,101,1,5,21,1,81,33,74,88,16,1,3,0,9.27,6.38,2
3,428,1,5,19,1,30,73,71,62,16,0,3,1,6.77,5.93,2
8,873,1,3,22,1,31,30,42,51,15,1,0,1,5.2,3.51,0
7,721,2,1,18,0,71,91,38,92,7,0,2,1,4.37,6.38,2
5,953,8,0,21,1,38,51,34,83,18,1,2,0,5.58,4.03,0
6,254,2,5,22,1,60,88,67,83,17,4,3,1,6.6,7.12,0
5,531,3,5,18,1,31,66,78,78,12,4,2,0,6.63,6.03,0
13,569,7,2,21,1,53,52,57,81,13,3,2,0,5.12,5.43,0
11,111,1,3,22,0,72,62,72,69,17,0,1,0,5.42,6.9,2
7,984,3,0,18,1,99,51,99,87,12,0,1,1,7.73,8.46,1
7,312,8,5,22,0,72,93,70,66,9,3,2,0,8.26,7.75,0
12,997,7,5,18,0,80,91,73,63,13,1,3,0,4.59,8.05,2
10,460,1,5,19,0,75,83,58,42,9,0,1,0,7.66,7.06,2
4,707,2,5,19,0,30,87,97,69,5,3,0,0,9.04,7.39,0
5,886,7,1,21,0,96,41,54,74,16,3,1,1,4.19,6.27,0
3,461,4,4,18,1,30,47,97,72,16,0,0,0,7.37,6.19,2
0,864,4,2,19,1,92,96,43,76,10,2,2,1,7.2,7.36,2
10,91,4,1,21,0,91,89,88,79,18,1,0,0,5.3,8.92,1
0,51,6,2,20,0,90,30,91,88,12,2,2,0,8.54,7.24,2
6,804,4,5,19,1,69,49,46,55,11,2,3,0,4.04,5.38,0
8,519,5,2,19,1,58,46,48,87,11,1,2,1,9.11,5.04,0
5,811,1,3,22,0,64,78,58,57,3,4,2,1,7.29,6.58,0
5,97,4,3,20,1,40,51,95,57,15,0,1,1,6.7,6.53,2
10,235,7,4,18,1,40,62,74,53,0,3,0,1,8.07,6.02,0
13,900,8,4,21,0,92,55,57,71,19,0,3,0,9.18,6.69,2
10,373,5,2,20,0,98,56,88,51,13,2,1,0,8.52,8.14,2
0,580,5,1,18,0,85,89,83,81,12,4,2,1,7.12,8.54,1
10,926,5,1,19,0,36,63,37,41,6,4,1,1,4.69,4.45,0
5,556,3,5,21,0,80,81,39,92,5,0,2,1,6.09,6.39,2
13,648,7,1,21,1,68,84,50,65,0,2,0,0,8.8,6.56,2
4,233,3,4,20,0,71,90,64,62,18,1,2,1,8.68,7.39,2
2,31,5,1,22,1,82,79,33,99,0,3,2,0,6.31,6.15,0
12,288,6,5,18,0,50,92,82,74,14,4,1,0,6.6,7.54,0
1,637,4,3,20,0,59,93,54,72,11,3,2,0,7.76,6.72,0
7,578,8,1,22,0,30,43,49,80,14,2,0,1,6.42,4.15,0
10,541,1,1,22,0,53,80,51,64,2,0,3,1,4.49,6.03,2
6,113,7,4,22,0,35,56,78,43,9,2,0,0,8.01,5.85,2
11,203,6,2,21,0,35,69,35,60,0,4,2,1,7.57,4.52,0
8,28,2,3,18,1,98,97,80,87,0,0,0,0,5.09,9.05,1
2,642,3,2,18,0,91,38,56,43,15,3,2,0,8.42,6.11,0
12,473,4,5,20,0,64,85,47,70,4,4,2,1,8.49,6.35,0
12,696,4,5,19,1,64,68,41,95,4,0,0,1,5.36,5.6,2
12,252,2,2,20,1,77,44,57,88,10,0,1,0,4.78,5.91,2
12,797,2,4,18,0,72,47,48,54,10,3,3,1,5.08,5.49,0
0,904,7,0,21,1,64,81,72,43,11,2,3,1,6.71,7.23,2
6,921,4,4,20,1,34,90,44,43,17,2,2,1,5.76,5.48,0
6,385,2,0,19,0,60,66,98,83,13,2,1,1,7.7,7.7,1
13,61,4,0,20,0,60,82,65,42,0,4,1,1,6.87,6.86,0
7,514,6,4,22,1,37,41,71,91,7,0,3,1,7.69,5.18,0
5,429,7,0,19,0,35,54,74,94,2,1,2,0,5.21,5.63,2
12,579,8,0,22,1,82,54,59,44,17,1,0,0,7.25,6.44,2
11,536,2,0,21,1,73,50,68,58,19,3,2,0,8.86,6.41,0
5,690,6,3,18,1,78,36,75,77,1,0,3,1,7.21,6.42,2
6,140,6,5,20,1,37,78,87,71,8,4,0,0,7.79,6.93,0
3,742,2,0,20,0,93,68,59,99,18,0,2,0,9.23,7.19,2
3,299,7,5,22,0,33,78,85,97,11,3,1,1,8.88,6.73,0
11,674,4,5,22,0,61,63,83,48,10,1,2,0,5.24,7.04,2
13,310,8,3,18,0,82,45,66,42,0,4,0,1,8.49,6.45,0
6,470,5,5,20,0,96,44,51,73,15,1,0,0,9.39,6.24,2
11,392,4,2,18,0,92,69,53,64,0,2,2,0,8.34,6.95,2
0,641,1,1,22,0,89,36,98,92,19,3,3,0,4.71,7.67,1
10,444,2,3,22,0,62,69,62,49,8,1,0,0,7.41,6.41,2
11,757,3,1,19,0,51,95,46,71,4,4,3,1,7.59,6.22,0
4,808,7,2,22,0,60,99,91,44,4,0,2,0,4.81,8.41,2
5,171,2,4,22,0,53,51,41,68,7,3,3,1,7.05,4.76,0
2,575,1,4,18,0,32,88,59,46,13,1,1,0,9.08,5.96,2
9,30,6,0,19,1,62,34,42,54,3,2,2,1,5.62,4.56,0
13,46,3,4,19,0,55,47,35,41,11,1,2,0,8.44,4.46,0
11,129,3,3,20,0,80,40,96,49,1,4,0,0,7.54,7.44,0
6,351,4,4,21,0,59,37,40,50,5,2,2,1,7.71,4.48,0
8,977,5,3,20,0,64,49,89,92,13,2,1,1,5.65,6.95,2
3,844,4,3,20,0,54,88,39,95,12,3,1,1,8.16,5.82,0
4,621,7,1,20,1,57,54,45,79,2,4,2,1,7.5,5.13,0
7,580,3,4,19,1,55,87,71,97,18,4,3,0,6.88,7.1,0
12,57,8,5,18,0,37,48,73,94,4,2,0,0,6.7,5.47,0
9,105,8,4,22,0,44,31,48,60,17,0,3,1,5.69,4.17,0
13,811,3,4,19,0,78,87,44,51,11,0,1,0,5.11,6.71,2
2,329,8,4,22,1,37,95,68,43,10,3,2,1,8.22,6.68,0
9,767,8,0,22,0,84,36,34,67,3,3,2,1,5.1,4.96,0
11,823,5,5,21,0,87,80,60,68,11,3,3,1,4.92,7.41,0
0,682,7,5,20,1,32,62,57,52,18,3,1,1,8.68,5.1,0
3,382,2,3,21,1,38,42,67,89,6,2,0,1,4.44,5.08,0
6,984,5,5,20,0,43,39,81,57,9,3,2,1,4.84,5.7,0
3,161,6,3,19,0,49,88,44,66,18,0,3,0,4.5,5.87,2
7,996,4,1,22,1,33,67,48,42,0,1,1,0,9.27,4.92,0
0,285,8,3,21,0,53,49,64,74,15,0,2,0,4.58,5.62,2
12,70,2,4,19,0,57,43,44,78,3,3,3,1,4.03,4.76,0
6,766,4,2,19,1,60,69,76,61,11,2,3,0,7.37,6.91,2
5,453,8,2,20,0,96,36,85,56,12,4,1,1,7.92,7.36,0
1,885,5,0,22,1,93,98,49,67,2,1,3,0,4.98,7.69,2
4,566,2,4,20,0,46,35,38,77,15,1,2,0,5.92,3.95,0
3,834,5,3,20,0,35,69,34,55,1,3,3,0,5.7,4.48,0
8,396,6,4,19,1,89,82,40,99,8,3,3,1,7.98,6.73,0
3,514,1,0,20,1,40,38,31,44,5,1,0,0,6.17,3.58,0
9,25,3,5,18,1,67,94,81,61,9,2,0,1,6.91,8.07,2
3,312,7,3,22,1,63,49,49,95,16,1,1,0,8.27,5.32,0
13,125,2,4,20,1,76,35,50,56,4,2,2,0,6.71,5.33,0
3,407,3,5,20,1,61,68,80,50,11,0,3,1,7.99,7.07,2
1,564,1,0,21,1,86,50,59,61,7,3,0,1,7.12,6.44,0
1,197,2,5,22,1,75,66,77,83,11,2,3,0,7.92,7.31,2
12,810,3,3,22,1,64,41,30,83,11,1,3,1,4.5,4.35,0
2,187,3,0,20,0,51,99,64,75,9,0,3,0,9.38,7.06,2
5,697,2,0,18,0,45,44,55,80,12,1,1,0,4.48,4.87,0
8,816,3,0,21,1,34,50,38,85,0,0,0,1,7.5,4.04,0
3,809,3,1,18,0,55,75,69,83,1,4,3,0,4.13,6.66,0
3,715,2,0,20,1,53,39,50,81,19,0,0,1,6.84,4.76,0
4,483,7,1,22,1,96,95,41,79,14,2,3,0,4.53,7.37,2
6,449,3,5,22,0,61,68,66,94,9,4,3,0,4.49,6.51,0
1,522,3,1,18,1,52,51,53,42,0,0,2,1,5.57,5.21,0
8,870,7,5,19,1,78,71,79,66,19,0,2,0,5.33,7.63,2
12,353,4,1,20,1,91,35,83,84,17,2,0,1,4.75,7.1,2
7,985,6,5,22,1,95,81,57,87,0,3,3,0,7.19,7.56,1
2,657,4,5,19,0,40,66,33,96,11,3,0,1,8.87,4.5,0
5,596,8,0,22,1,47,35,41,52,7,3,3,1,9.05,4.1,0
0,99,1,0,22,0,39,58,96,52,8,4,0,0,5.6,6.75,0
5,615,4,5,19,0,89,98,66,90,19,3,0,1,8.76,8.25,1
13,947,4,0,18,1,37,80,33,93,1,4,1,0,9.32,4.83,0
9,557,1,5,20,0,77,56,44,69,15,3,1,0,5.72,5.75,0
13,555,3,0,19,0,70,66,57,57,13,2,0,1,9.15,6.36,2
3,277,3,2,19,0,37,75,66,79,0,4,2,1,6.34,6.0,0
2,692,4,1,22,0,66,54,38,72,13,3,2,1,6.55,5.12,0
9,698,1,5,19,1,66,66,43,56,19,1,3,0,6.64,5.68,2
8,989,3,4,20,1,93,52,96,95,16,3,1,1,8.02,8.19,1
0,625,5,0,18,1,88,55,79,80,5,1,0,1,5.43,7.45,2
1,490,2,0,18,0,74,81,54,49,7,1,2,1,5.32,6.81,2
2,254,2,3,18,0,45,32,68,80,17,0,3,0,7.46,5.03,0
2,380,6,4,20,1,55,57,55,83,7,3,3,0,7.07,5.56,0
13,891,2,4,22,0,60,63,89,63,7,0,0,0,4.39,7.25,2
3,541,4,2,20,0,56,94,81,81,1,0,3,1,8.96,7.74,1
11,263,2,1,19,1,72,58,99,68,15,4,1,1,5.6,7.86,0
12,609,2,2,21,0,44,33,55,47,12,1,1,0,8.13,4.51,0
13,824,5,1,21,0,87,97,77,75,13,0,2,1,7.18,8.6,1
2,878,3,5,21,1,78,91,83,95,6,3,0,0,7.15,8.39,1
10,328,5,2,18,1,54,67,70,53,2,2,1,0,8.72,6.43,2
4,114,4,3,20,1,97,96,30,68,7,3,2,1,8.84,6.99,0
0,275,2,1,20,1,65,31,50,46,0,1,3,1,7.08,4.88,0
12,487,7,2,18,1,76,73,54,64,16,4,0,1,6.36,6.63,0
13,280,3,3,19,1,88,61,47,81,7,3,0,0,7.41,6.35,0
0,274,6,4,21,1,81,32,44,69,5,3,3,1,4.66,5.15,0
4,772,6,0,21,0,69,46,71,95,18,0,1,0,6.31,6.29,2
7,842,8,5,18,1,72,41,49,67,10,3,3,0,7.64,5.35,0
4,718,8,5,21,0,85,93,45,49,7,1,3,0,8.2,7.14,2
4,895,2,4,22,1,32,92,36,86,7,2,2,0,7.97,5.16,0
0,327,2,2,20,0,41,70,34,86,9,0,0,0,4.96,4.69,0
5,210,6,0,21,0,94,31,47,73,9,3,3,0,7.36,5.63,0
0,726,6,4,21,0,72,82,47,95,12,2,2,1,4.5,6.5,2
11,922,7,3,22,0,99,63,93,55,2,3,3,1,7.28,8.58,0
3,551,4,0,19,0,75,69,54,95,16,4,0,1,8.1,6.48,0
9,991,2,1,19,1,89,94,55,49,14,1,3,0,7.47,7.69,2
5,25,6,2,22,1,90,84,98,68,5,4,0,1,7.44,9.14,0
1,26,7,0,19,1,78,80,45,97,16,0,0,0,7.59,6.54,2
9,701,1,1,18,0,54,34,92,96,0,2,2,1,6.3,6.32,2
3,82,6,4,22,0,32,85,87,54,2,4,3,1,6.12,6.99,0
13,895,3,5,20,0,97,50,56,67,7,3,3,0,6.45,6.65,0
12,945,3,0,20,1,92,87,78,90,7,4,3,1,5.16,8.49,1
11,681,1,0,20,0,59,60,76,95,10,2,1,0,6.5,6.61,2
11,412,8,1,21,0,33,75,79,63,15,3,0,1,8.98,6.4,0
1,166,4,1,22,1,50,56,75,81,0,0,1,1,5.6,6.18,2
5,699,8,5,22,1,30,99,37,59,10,4,0,1,6.37,5.35,0
6,168,2,1,19,1,89,60,31,86,16,1,1,1,7.55,5.71,2
7,800,8,1,22,0,63,70,47,92,12,2,3,1,8.22,5.87,2
4,978,2,0,22,0,32,74,65,68,1,1,2,0,4.05,5.78,2
5,228,6,5,19,1,47,65,71,41,4,3,0,1,7.65,6.2,0
12,978,3,5,22,0,72,31,40,85,11,1,0,1,4.79,4.69,0
7,608,4,0,22,0,70,91,88,71,14,2,1,0,8.09,8.35,2
11,366,4,4,18,0,53,50,81,86,6,2,1,1,4.75,6.33,2
0,527,4,4,19,0,53,63,78,93,5,1,1,0,8.13,6.6,2
12,790,6,0,18,1,32,42,85,81,4,1,2,1,9.2,5.62,2
3,646,2,1,21,0,88,48,99,69,14,3,0,0,5.23,8.04,0
1,537,4,2,19,0,87,62,59,48,2,1,2,0,4.05,6.83,2
3,863,6,4,22,1,53,78,84,58,8,2,2,1,4.61,7.29,2
6,523,6,4,22,0,95,32,57,45,16,1,1,1,9.06,6.09,2
12,71,1,0,18,0,69,67,80,47,13,0,3,1,6.59,7.28,2
8,644,5,0,18,1,38,44,56,73,6,2,1,0,6.96,4.7,0
8,105,8,2,21,0,89,67,81,97,14,2,0,1,4.84,7.92,1
13,731,4,2,21,1,68,54,63,40,6,3,3,1,9.43,6.18,0
5,884,5,5,22,0,62,90,61,52,12,3,0,0,5.0,7.0,0
11,964,2,0,20,0,63,79,73,45,13,4,0,0,7.31,7.18,0
11,688,6,4,21,0,91,39,33,74,10,3,3,1,7.13,5.22,0
4,281,7,3,22,1,90,79,77,68,17,0,1,0,4.36,8.15,2
4,132,8,3,21,0,56,71,45,41,12,3,1,1,9.48,5.61,0
4,533,8,1,19,0,46,81,89,98,11,4,3,1,7.03,7.37,0
0,974,4,4,18,1,89,75,76,49,1,2,2,1,4.86,7.96,2
9,268,7,3,22,0,71,69,44,70,9,3,0,1,8.15,5.96,0
2,411,3,4,21,0,76,87,85,47,10,4,2,0,6.16,8.29,0
9,672,2,0,18,0,82,53,45,80,15,3,0,1,7.69,5.85,0
3,618,1,4,20,1,50,98,30,78,16,3,0,0,5.23,5.64,0
9,790,1,3,21,1,37,69,54,96,13,2,0,1,9.07,5.34,0
0,864,5,4,22,1,87,49,93,67,12,4,2,1,4.23,7.8,0
13,746,6,2,19,0,97,58,72,70,16,3,3,1,4.11,7.53,0
3,17,5,1,18,1,92,66,43,52,4,2,3,1,8.76,6.46,2
9,753,3,5,18,0,88,49,77,46,3,4,2,1,6.99,7.19,0
0,116,3,3,19,1,59,47,97,90,10,1,2,1,5.88,7.06,2
2,797,8,0,22,1,54,33,43,40,16,4,3,0,4.78,4.33,0
9,793,1,5,20,0,85,40,44,84,2,3,1,0,4.33,5.51,0
0,143,7,1,19,1,63,93,46,88,1,3,3,1,5.63,6.52,0
6,716,4,2,20,1,79,81,81,83,0,4,1,1,8.46,8.04,1
4,550,1,2,22,0,31,72,39,92,17,2,3,0,5.06,4.65,0
